Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.5,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,-6.98',15.85',18',-0°,0°,0°,0°,0°,No,,,No,,,3da08413-be7a-4a08-8120-d8732a2f492d,
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.10,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,4.19',15.85',18',-0°,0°,0°,0°,0°,No,,,No,,,d2debe91-3961-479b-a409-5771678e2c4b,
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.11,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,6.98',15.86',17.67',-0°,0°,0°,0°,0°,No,,,No,,,25c465b9-c2ae-49cf-9e1f-72bf38ed605c,
Martin MAC Quantum Profile,12° - 36°,750W,,A,0,,1.76,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,9.77',16.22',17.67',-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,1847d238-5730-41d8-9c2e-9002852d9684,
Martin MAC Quantum Profile,12° - 36°,750W,,A,0,,1.49,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,-9.77',16.20',18',-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,52c96442-a38f-401e-b31a-4929cbc14e32,
Martin MAC Quantum Profile,12° - 36°,750W,,B,0,,1.111,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,-10.74',2.17',17.61',-0°,0°,-180.0°,-90°,180°,No,0°,0°,No,0°,0°,4ae9f3fe-8f69-4cf2-b49d-d774165c3556,
Martin MAC Quantum Profile,12° - 36°,750W,,B,0,,1.138,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,10.99',2.17',17.61',-0°,0°,-180.0°,-90°,180°,No,0°,0°,No,0°,0°,7d183158-ec50-40b1-a7ec-ac4a99dea7b0,
Martin MAC Quantum Profile,12° - 36°,750W,,H,0,,10.65,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,25.00',13.45',90',-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,b4afb3aa-cb68-4c5d-8463-5c75ddce0adc,
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,5.299,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,4.46',6.04',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,8690748c-79d5-4da0-9f17-61d3315c44d9,
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,5.307,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,4.46',11.67',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,a2e2a94a-f59c-4c46-b5fb-aa93d191cd71,
MEGA-lite Bright Stripe,30°,17W,,F,0,,5.145,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,4.46',4.63',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,94c43c19-3bb6-4d1d-bbd3-0016518c4a92,
MEGA-lite Bright Stripe,30°,17W,,F,0,,5.385,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,4.46',7.45',1.33',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,492bb544-dc22-4b05-a1f2-6a5c28c2b3ec,
MEGA-lite Bright Stripe,30°,17W,,F,0,,5.433,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,4.46',10.26',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,b3f19914-4cc3-498e-b9e1-67c24230ff2a,
ADJ 12PX Hex,30°,133W,,F,0,,5.323,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,4.46',8.85',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,cd667898-c8d2-4330-96fd-a7889bfc1f34,
ADJ Vizi Wash Z19,10° - 60°,276W,,F,0,,5.238,12 Channel v.1.2,12,Z19 Wash,,,,,,,18.9lbs,,6.01',6.82',-0.19',0°,-90°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,7ab7ace3-2ec4-442d-8de0-cb3661395de6,
Blizzard Lighting HotBox RGBA,30°,47W,,D,0,,3.150,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-10.48',6.04',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,bd0045d8-dd05-4981-9f9d-76007aa4b246,
Blizzard Lighting HotBox RGBA,30°,47W,,D,0,,3.158,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-10.48',11.67',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,dd0ef545-328f-49e3-ad58-f891c3fd1b56,
MEGA-lite Bright Stripe,30°,17W,,D,0,,3.1,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-10.48',4.63',1.33',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,5821f4d8-ba56-4978-a177-3c4a9d306ee5,
