Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"22.40""","176.37""","-282.87""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,87ab720e-d4c5-4a13-96ae-e2a88337f456,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"22.07""","133.02""","-282.98""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,9cf21688-b89f-4b0a-a72b-4bd837dc442e,
Elation Sniper 2R,3°,220W,,,0,,,14 Channel,14,Fixture Snipers,,,,,,Substitute with laser or laser simulator,20.9lbs,,"20.30""","152.71""","-294.90""",-90°,0°,0°,-180°,90°,No,,,No,,,8e040e11-94a0-4a55-b586-23d702c8d486,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"22.07""","93.65""","-282.98""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,f6e9c291-3d89-4d35-918e-16a12e6fb7df,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-22.40""","176.37""","-282.87""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,962291e4-34ee-4026-951b-f7c7a1699ae7,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-22.07""","133.02""","-282.98""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,29512363-a972-484d-aa63-0944e9e2fc7d,
Elation Sniper 2R,3°,220W,,,0,,,14 Channel,14,Fixture Snipers,,,,,,Substitute with laser or laser simulator,20.9lbs,,"-24.41""","152.71""","-294.90""",-90°,0°,0°,-180°,90°,No,,,No,,,5d15ebd0-f052-4034-b74c-b02e43f06225,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-22.07""","93.65""","-282.98""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,0a52c56e-d11f-46de-8780-9dec6691ae00,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-67.10""","176.37""","-282.87""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,c318e13d-7d37-4081-9057-eb839fc9f0bd,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-67.43""","133.02""","-282.98""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,a353ee49-4bbf-426e-be42-85a242ebbf6c,
Elation Sniper 2R,3°,220W,,,0,,,14 Channel,14,Fixture Snipers,,,,,,Substitute with laser or laser simulator,20.9lbs,,"-69.20""","152.71""","-294.90""",-90°,0°,0°,-180°,90°,No,,,No,,,31cb2882-5240-494d-897d-95c2a73baf66,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-67.43""","93.65""","-282.98""",0°,90.0°,-90.0°,-180°,90°,No,,,No,,,97116b0a-cf0c-4fe3-89e0-56e1dc74657b,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-111.90""","176.37""","-282.87""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,8a6b18fc-8430-49e4-b588-39bac6a66336,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-111.57""","133.02""","-282.98""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,f6d7a470-b71d-4d44-afdc-583c8b55979a,
Elation Sniper 2R,3°,220W,,,0,,,14 Channel,14,Fixture Snipers,,,,,,Substitute with laser or laser simulator,20.9lbs,,"-113.91""","152.71""","-294.90""",-90°,0°,0°,-180°,90°,No,,,No,,,af1af6ed-4a31-4d18-adca-83421606fc19,
ADJ Jolt Bar FX,94.5°,340W,,,0,,,6 Channel 1.3,6,Fixture Strobes,,,,,,"Substitute w/ pixel dense LED batten, similar lenght",8.8lbs,,"-111.57""","93.65""","-282.98""",0°,-90.0°,90.0°,-180°,90°,No,,,No,,,7513b344-cd0a-4436-acd9-7e14ae5d5f6e,
